,PC1,PC2,PC3,PC4,PC5,PC6,PC7
temperature,0.053634491534418655,0.7335652355296799,0.591446357573281,0.2546758355951462,0.13381069978214194,-0.11284444831049048,0.02566579333218372
ph,-0.6142463335571526,0.007718235354927239,-0.31859922624575693,0.22485469110276485,0.6655962443617695,-0.11394064550679452,0.053726415977820914
total_hardness,0.6554582556319097,0.5182557026994203,-0.06887694211269714,-0.37862868629292545,0.07761687759924941,0.12908014206568388,0.09397251199692716
chloride,0.7721822028514563,0.1507163323789077,-0.2616088731303988,-0.25925488281490583,0.25888177082500163,0.01514404466260306,-0.23590920206866367
ammonia,0.8618767112091151,-0.031631750342740864,0.0844579599642689,-0.15249507127708958,0.09626423522552992,-0.23347870595837783,-0.1621805037894696
phosphate,0.8095905665634452,-0.3659344128324315,0.13631177731099023,0.053971000138239536,0.06396092321016886,-0.237625436930383,0.1021453065428076
nitrate,0.8084418811605756,0.10887032568027712,-0.2545395249475362,0.13527962470771118,0.022227409942840073,0.2211438848977974,0.3801520126770023
iron,0.8421308469809371,-0.2944174974431817,0.14312981350898238,0.08710042864076772,0.03898631773952636,-0.20208423793145328,0.15176693253043752
free_residual_chlorin,0.6973762890188651,-0.26942708392491616,0.2608734100738814,0.32195713937922094,0.176860352571308,0.43048905491850453,-0.20508861502226206
coliform,0.5359356039591189,0.3370844420866732,-0.4853088322103133,0.4726699520514958,-0.2948204280162766,-0.14076350070029992,-0.15456381772853744
